latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel,sparte,von,nach,baubeginn,bauende,verkehrsbeeintraechtigungen,baumassnahme
54.0835782966798,12.1332427399598,df6c5870-ff70-4229-8aa1-3a71f7c26e29,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Paulstr.,"07540",Hochbau,"20",,2021-12-01 00:00:00+01,2024-06-01 00:00:00+02,"halbseitige Sperrung, Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Sperrung des Fußgängerverkehrs im Gehwegbereich",Neubau MFH
54.0765518142859,12.1409247815458,df9dd373-2e39-4943-8a5e-a1d9551dcbf0,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lessingstr.,"06560",Straßenbau,"13",,2023-10-30 00:00:00+01,2024-06-01 00:00:00+02,"Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Verkehrsraumeinschränkungen","Baustelleneinrichtung, Containerstellung"
54.1375111817335,12.0561739570268,dfac3d11-0683-4db2-b918-37d482de404e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Helsinkier Str.,"03480",Stromnetz,8b,,2024-03-18 07:00:00+01,2024-05-03 17:00:00+02,"Sicherungsmaßnahmen entlang der Straße, Vollsperrung",Sanierung Banhunterweg/Erneuerung Stromwandler
54.0903027796525,12.1262642925749,e186c511-69a3-401e-b898-435e0a3aa8dc,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Haedgestr.,"03230",Gebäudesanierung,"37",,2023-10-02 00:00:00+02,2024-05-01 00:00:00+02,"Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Sperrung des Fußgängerverkehrs im Gehwegbereich",Fassadenarbeiten -Gerüststellung und Baustelleneinrichtung-
54.09588247303,12.1558723136144,e1fcd9d1-a58b-40f4-af91-78be5c9bdc65,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bei der Knochenmühle,"01200",Kabelnetz,"10",,2023-11-27 00:00:00+01,2024-03-28 00:00:00+01,"halbseitige Sperrung, Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Sperrung des Fußgängerverkehrs im Gehwegbereich",Erweiterung Glasfasernetz
54.0865823832002,12.0848013897027,e2480ee1-c738-43e5-a838-afae40c52ddb,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kopernikusstr.,"06170",Grünpflege,Tschaikowskistr. (09060),Johannes-Kepler-Str. (10650),2024-03-07 07:00:00+01,2024-03-31 15:00:00+02,"Sicherungsmaßnahmen entlang des Gehwegs, Sperrung des Fußgängerverkehrs im Gehwegbereich, Sperrung für Fahrradverkehr",Baumpflanzung
54.1131977762941,12.0840709854816,e38cbbb5-f900-4581-8dd9-a1e771abcd7a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zum Kühlhaus,"88020",Fernwärmeleitung,"1",3a,2024-02-12 07:00:00+01,2024-03-29 17:00:00+01,"Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs",Verlegung Fernwärmeleitung
54.0749544539959,12.1234076609778,e4be485d-5ccd-4a7f-8b79-4bc1aadf7d4d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Erich-Schlesinger-Str.,"02030",Hochbau,"31","34",2023-11-15 00:00:00+01,2024-11-16 00:00:00+01,Sperrung des Fußgängerverkehrs im Gehwegbereich,Errichtung Hotelkomplex
54.0946092859821,12.1038269026789,e4fdd58b-9033-4605-b1c1-251bcaf93832,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Werftstr.,"09680",Wasserleitung,,,2023-02-20 00:00:00+01,2024-06-29 00:00:00+02,"Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Verkehrsraumeinschränkungen",Sanierung Wasser/ Abwasser in versch. Bauphasen
54.0891614822721,12.1182242146283,e8752e43-3b4f-461b-a26b-26dcc487d2ea,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Leonhardstr.,"06550",Straßenbau,"10",,2024-03-14 07:00:00+01,2024-04-12 18:00:00+02,"Sicherungsmaßnahmen entlang der Straße, Sicherungsmaßnahmen entlang des Gehwegs, Verkehrsraumeinschränkungen",Reparatur Gehweg
