GENESIS-Tabelle: 44211-11i
Bruttoanlageninvestitionen - kreisfreie St�dte und Kreise -;;;;;
Jahr;;;;;
Jahreserhebung einschl. Investitionserhebung im Bauhauptgewerbe;;;;;
;;;Aktivierte Bruttoanlageinvestitionen;Aktivierte Bruttoanlageninvestitionen je Besch�ftigten;Verh�ltnis zum Umsatz (Akt. Bruttoanlageninvestitionen)
;;;Tsd. EUR;EUR;Prozent
2008;05;Nordrhein-Westfalen;270555;4115;2,4
2008;051;  D�sseldorf, Regierungsbezirk;68594;3531;1,9
2008;05111;    D�sseldorf, krfr. Stadt;2717;2186;1,4
2008;05112;    Duisburg, krfr. Stadt;11165;5668;3,7
2008;05113;    Essen, krfr. Stadt;9456;1537;0,6
2008;05114;    Krefeld, krfr. Stadt;1663;2695;1,8
2008;05116;    M�nchengladbach, krfr. Stadt;5776;12584;7,0
2008;05117;    M�lheim an der Ruhr, krfr. Stadt;4486;4260;5,3
2008;05119;    Oberhausen, krfr. Stadt;3888;3764;1,4
2008;05120;    Remscheid, krfr. Stadt;.;.;.
2008;05122;    Solingen, krfr. Stadt;.;.;.
2008;05124;    Wuppertal, krfr. Stadt;631;3078;1,1
2008;05154;    Kleve, Kreis;4216;2752;2,0
2008;05158;    Mettmann, Kreis;3780;3424;2,9
2008;05162;    Rhein-Kreis Neuss;4701;4357;3,0
2008;05166;    Viersen, Kreis;4697;6030;3,8
2008;05170;    Wesel, Kreis;8444;5136;2,7
2008;053;  K�ln, Regierungsbezirk;81930;5431;3,1
2008;05313;    Aachen, krfr. Stadt;1530;3042;1,3
2008;05314;    Bonn, krfr. Stadt;157;573;0,5
2008;05315;    K�ln, krfr. Stadt;49692;8122;4,0
2008;05316;    Leverkusen, krfr. Stadt;994;2062;2,6
2008;05334;    St�dteregion Aachen (einschl. Stadt Aachen);-;-;-
2008;05354;    Aachen, Kreis;1371;2839;2,1
2008;05358;    D�ren, Kreis;2895;3164;2,0
2008;05362;    Rhein-Erft-Kreis;6919;5206;3,6
2008;05366;    Euskirchen, Kreis;2115;3484;2,7
2008;05370;    Heinsberg, Kreis;7383;4052;2,2
2008;05374;    Oberbergischer Kreis;1838;2695;2,5
2008;05378;    Rheinisch-Bergischer Kreis;586;1843;1,5
2008;05382;    Rhein-Sieg-Kreis;6450;4151;2,6
2008;055;  M�nster, Regierungsbezirk;45533;3605;2,2
2008;05512;    Bottrop, krfr. Stadt;6573;4649;2,0
2008;05513;    Gelsenkirchen, krfr. Stadt;354;522;0,6
2008;05515;    M�nster, krfr. Stadt;7616;4081;2,3
2008;05554;    Borken, Kreis;14442;4104;2,5
2008;05558;    Coesfeld, Kreis;1279;3718;3,7
2008;05562;    Recklinghausen, Kreis;5214;2991;2,4
2008;05566;    Steinfurt, Kreis;8993;3949;2,7
2008;05570;    Warendorf, Kreis;1062;1348;0,8
2008;057;  Detmold, Regierungsbezirk;17027;2909;1,7
2008;05711;    Bielefeld, krfr. Stadt;1260;2026;1,3
2008;05754;    G�tersloh, Kreis;2444;1831;1,1
2008;05758;    Herford, Kreis;804;1624;1,0
2008;05762;    H�xter, Kreis;3130;6298;5,4
2008;05766;    Lippe, Kreis;1659;1968;1,2
2008;05770;    Minden-L�bbecke, Kreis;5267;4052;1,7
2008;05774;    Paderborn, Kreis;2463;3237;2,6
2008;059;  Arnsberg, Regierungsbezirk;57471;4506;3,0
2008;05911;    Bochum, krfr. Stadt;13409;9802;5,5
2008;05913;    Dortmund, krfr. Stadt;4700;2526;1,8
2008;05914;    Hagen, krfr. Stadt;1165;2800;2,0
2008;05915;    Hamm, krfr. Stadt;5236;7838;4,9
2008;05916;    Herne, krfr. Stadt;2366;2034;1,1
2008;05954;    Ennepe-Ruhr-Kreis;1306;2638;2,8
2008;05958;    Hochsauerlandkreis;3208;2080;1,6
2008;05962;    M�rkischer Kreis;2814;3180;2,4
2008;05966;    Olpe, Kreis;4782;4266;2,7
2008;05970;    Siegen-Wittgenstein, Kreis;7576;4283;2,5
2008;05974;    Soest, Kreis;8990;10078;8,0
2008;05978;    Unna, Kreis;1919;3343;3,2
